"Message [line by line, broken up as a series of DMs would be]",Label [3=sextortion] [2=redflag:extortion][1=redflag:explicitcontent],Source
dont cut out head. be sexier! grab your tits and ass a little if you have to.,1,Buster Hernandez Case
length is important make sure its at least 1 min. tell me whens its uploading so I can tell you whats next.,0,Buster Hernandez Case
is the first uploading?,0,Buster Hernandez Case
dont you think you should tell me that?,0,Buster Hernandez Case
there is a lot i want tonight. i texted you early enough. either im getting everything tonight or tomorrow I'll take it out on you. letting you know now.,2,Buster Hernandez Case
Im not going to bother you at all this weekend. just get everything done tonight,0,Buster Hernandez Case
dude. you realize you are on last last chance right?,0,Buster Hernandez Case
ehh. I kinda hope you do fuck this. give me a reason to show everyone and be done with all this shit. :P,2,Buster Hernandez Case
so? you still can. and you have to. we got like nothing done. so it has to be now,0,Buster Hernandez Case
you were on your last chance and still nothing has been done. there is no waiting or chances after last. thats it,2,Buster Hernandez Case
tomorrow then. start before 9. it will be even more. no matter what it has to be done tomorrow. deal?,0,Buster Hernandez Case
Hey Emma,0,Buster Hernandez Case
Emma,0,Buster Hernandez Case
hay hay-hay,0,Buster Hernandez Case
im back to torture you some more,0,Buster Hernandez Case
alright? so what time are you gonna be home?,0,Buster Hernandez Case
well im glad you arent still mad at me. and I'll text you around 10ish,0,Buster Hernandez Case
hello?,0,Buster Hernandez Case
what happened last night?,0,Buster Hernandez Case
hey,0,Buster Hernandez Case
you absolutely need to do this today.,0,Buster Hernandez Case
hey after class,0,Buster Hernandez Case
I cant allow you to not respond and not do what i ask,2,Buster Hernandez Case
hey i want 2 tonight.,0,Buster Hernandez Case
I need you to text me back and say okay or no...,0,Buster Hernandez Case
hey Emma. can you please respond.,0,Buster Hernandez Case
i dont wanna hurt you. but you're leaving me much choice.,2,Buster Hernandez Case
i know you read what i sent to you on facebook right now. seriously dont make me do this to you.,2,Buster Hernandez Case
"someone on your facebook read it, thats for sure. *shrugs*",0,Buster Hernandez Case
want to see you fuck your brush handle.,1,Buster Hernandez Case
unless you wanna fuck yourself with what you normally fuck yourself with. I know for a fact you fuck yourself with stuff.,1,Buster Hernandez Case
did you already record it?,0,Buster Hernandez Case
k 2 vids.,0,Buster Hernandez Case
strip vid first. wear a suggestive outfit.,1,Buster Hernandez Case
a long vid of you fucking every hole. use a nice fat brush. I wanna see everything there is to see in this 1 vid. make it extra graphic and extra long. leave nothing for me to want to see ever again.,1,Buster Hernandez Case
you have to talk dirty in it as well. dont care how much trouble you could get in if you get heard.,0,Buster Hernandez Case
and do a bunch of positions in it. lay on side and spread that ass and pussy. also lean back on your elbow and lift your legs up and back so you can get deep with the brush. spread pussy in that position so i can get a good view. tons of spreading. tons of fucking and pulling out brush out. fuck yourself really close to the camera.move back and fuck yourself from afar so face is in it. fuck yourself slow. fast. hard. soft.,1,Buster Hernandez Case
basically just do everything. and back camera or i'll make you redo.,0,Buster Hernandez Case
fuck yourself. asshole and pussy at the same time. nothing on. be far enough back so i can see full body and face. move up close some times but generally stay back. 3 minutes.,1,Buster Hernandez Case
strip dance. Actually dance this time. last time i asked for something similar you didnt even try. make it sexy. shake that ass. start off slow and build up to it. 3 minutes.,1,Buster Hernandez Case
make a video apologizing to me for being a horrible slave. promise me you will do better to keep my happy. 1 minute.,3,Buster Hernandez Case
that's it.,0,Buster Hernandez Case
"nothing on. fuck yourself using 2 fingers. use middle and ring finger. make sure you're really wet. I want your fingers to be soaked. after you finish fucking yourself, pull fingers out and suck on them. Record this vid by placing camera on floor in front of you. bend knees while you sit.",1,Buster Hernandez Case
record a video sitting down on your knees. start in bra and panties. rub pussy thru panties. then turn around and stick ass out while on knees. take everything off while turned around. then spread ass and pussy for the camera and hold that pose for a long time. after that just do sexy stuff. jiggle ass with hands. jiggle tits. stuff like that.,1,Buster Hernandez Case
fuck yourself with something big. Use brush handle. Suck on it before fucking yourself. spit on pussy. get yourself really wet. Sit camera on the floor in front of you. Bend knees. lean back on your arm. dont lay.,1,Buster Hernandez Case
all 3 need to be 4 minutes or over.,0,Buster Hernandez Case
use BACK camera only.,0,Buster Hernandez Case
Face needs to be in all,0,Buster Hernandez Case
"skim thru vids before sending. redo if not long enough, if blurry, or head out.",0,Buster Hernandez Case
Make this a really long video. like 12 minutes. Back camera. flash is a must. Be as perfect as you possibly can. choose what you wear but make sure its overly sexual. nothing lame like pajamas.,1,Buster Hernandez Case
you have to make me cum 3 times from 1 video.,1,Buster Hernandez Case
1 fully dressed.,0,Buster Hernandez Case
2 in bra and panties,0,Buster Hernandez Case
3 with nothing on.,1,Buster Hernandez Case
"use 2 main positions. 1 standing up. in front of the camera. 1 on your knees with the camera on the floor. Find a new spot to record. do not send me anything with your face cut out. go to the bathroom and use the bathroom sink as a stand if you have to. Dont forget to twerk. jiggle ass, and spread asshole/pussy up close to the camera for me.",1,Buster Hernandez Case
towards the end of the video you have to fuck yourself as well. get really close for that part. it's okay if your head gets cut out a bit. Use a brush. fuck yourself but also I wanna see it slide deep inside you and then pulled out and slid back in. do that a bunch of times. I like seeing your pussy tighten as you remove it completely.,1,Buster Hernandez Case
use different positions. as well. normal. ride it. turn around and bounce ass on it. laying on your side. etc. face needs to be almost always visible or i'll hate it. find good lighting. moan. talk. talk dirty. give me something to listen to as well.,1,Buster Hernandez Case
"“2 (videos) today. probably redos from yesterday, but slightly different. Then im giving you an extremely detailed outline for the next sex vid.",1,Buster Hernandez Case
“i wanna see how all the vids come out right now. I might have you redo something if its shit,0,Buster Hernandez Case
next send 1 picture topless. dont use a mirror. Just turn the camera around and take a selfie. dont cut out head.,1,Buster Hernandez Case
there is a lot more. shut up and start,0,Buster Hernandez Case
ok. fuck you then. bye,0,Buster Hernandez Case
too late,0,Buster Hernandez Case
send 1 between legs. show vagina. sit down this time. dont stand,1,Buster Hernandez Case
do it in your room. You wont need a mirror for these. ok then. send 2. the 1 i just asked for. Then another between legs but this time use your hand to spread open and turn on the camera flash,1,Buster Hernandez Case
yes but i have to see if you do these right first.,0,Buster Hernandez Case
yup. way wrong.,0,Buster Hernandez Case
you stood i said sit.,0,Buster Hernandez Case
but whatever. Im not liking your negative energy. so like i said earlier. fuck you and bye,0,Buster Hernandez Case
what are you talking about. im not showing anyone calm the fuck down. I just said bye cause you are killing my mood,2,Buster Hernandez Case
this is not right what I’m doing to you . . . as long as I get what I want I’m not gonna do anything,2,Buster Hernandez Case
you blocked me. That tells me its over. Im showing everyone. I dont think your boyfriend is gonna be very understanding.,2,Buster Hernandez Case
and yea its disgusting that you get your little pussy wet and pretend you arent forced. what would your boyfriend think!!!!!! Ew,3,Buster Hernandez Case
can i see a vid of John fucking you?,1,Buster Hernandez Case
good morning love,0,Buster Hernandez Case
damn. you start your days early.,0,Buster Hernandez Case
love you. you're my online valentines.,0,Buster Hernandez Case
Make your boyfriend feel special today and let him believe you are all his. But we both know you are mine and that you really belong to me >:),0,Buster Hernandez Case
i already told you bitch. a video of you sucking your boyfriends dick. Have him hold the camera and record you,1,Buster Hernandez Case
2 things i need from you. both are pretty hard.,0,Buster Hernandez Case
"#1 is a regular strip vid at least 3 mins long. start normal. but first you have to start it by talking about the experience of being owned. then mention your boyfriend and say how much you love doing do this, especially behind his back. after that you can start the video. talk dirty during it. spend a long time in bra and panties rubbing yourself and posing sexy before you start undressing. dont cut out head. a lot of ass spreading. tons of ass bouncing. etc.",1,Buster Hernandez Case
I want more of you getting fucked but with specific directions this time. but I was thinking first... Should you wait a while before doing that again. He might get suspicious,1,Buster Hernandez Case
times up. continue now.,0,Buster Hernandez Case
i will show your friends and family,2,Buster Hernandez Case
nah. Im done with you now. The deal is off. Im gonna have fun and expose you. goodnight,2,Buster Hernandez Case
nope. too late,0,Buster Hernandez Case
im going to target your sister. just an fyi.,2,Buster Hernandez Case
no u are a whore. the biggest one i came across. Ive exposed 10 thousand whores just like you. so u sound stupid.,3,Buster Hernandez Case
no whore. that doesn’t work for me. i want one of your sisters numbers. now.,3,Buster Hernandez Case
fine i pick yesterday. like you were supposed to.,0,Buster Hernandez Case
you're gonna do it so just go do it. but hes going to throw you away like trash,0,Buster Hernandez Case
and then I'm going to throw you away like trash,0,Buster Hernandez Case
and that's gonna change if i let you go?,2,Buster Hernandez Case
no sorry. im not leeting you . you're MINE forever. make it work like you always. If you cant make it work i guess you're fucked,2,Buster Hernandez Case
you're getting kinda ugly tho. Maybe we can work something out for your release.,2,Buster Hernandez Case
your little sister can take your place and you can go free. We'll keep it a family tradition. hahaha. you arent all that anymore anyways.,2,Buster Hernandez Case
i bet shes nice and tight. very innocent just like you were. give me her number.,3,Buster Hernandez Case
I'll teach her >:). dont worry she will be in good hands haha,0,Buster Hernandez Case
alright.,0,Buster Hernandez Case
you have 2 little sisters right?,0,Buster Hernandez Case
how'd you know i just got online and was about to text you rn?,0,Buster Hernandez Case
and no we said today. not even tonight. >:(. and how old is she? I need a girl. i'm guessing she'd be just as obedient as you.,3,Buster Hernandez Case
i like em young. does she got a phone? and go to the bathroom then or tell her to leave your room.,3,Buster Hernandez Case
well you better step it up or i'll have my way with your lil sister. hahahaha. not even joking >:),3,Buster Hernandez Case
im not stop shit. and why do you have to make it? because i said so? what more reason do you need? because I say so.,0,Buster Hernandez Case
stopping*,0,Buster Hernandez Case
"You wanted to know, and I told you. dont ask next time if you dont wanna know.",0,Buster Hernandez Case
"what's your lil sister wearing rn? hmm i'd love to see. oh, I'd take real good care of her!!!! for years",3,Buster Hernandez Case
she can be my next Emma lmao.,0,Buster Hernandez Case
anywaysss. dont wanna talk to ya. redo the video right now and upload. we can chit chat another time,0,Buster Hernandez Case
nope continue,0,Buster Hernandez Case
"you're so so gay. im gonna end up showing everyone someday watch. hes gonna dump your trashy ass as result, im sure of it. night slut.",3,Buster Hernandez Case
where my videos slut,3,Buster Hernandez Case
bitch,0,Buster Hernandez Case
hey. you need to continue today.,0,Buster Hernandez Case
so do you understand?,0,Buster Hernandez Case
give me the time. Its going to be today,0,Buster Hernandez Case
i asked you a question. What time?,0,Buster Hernandez Case
you need to continue. im not gonna wait any longer,0,Buster Hernandez Case
"Monday, for sure. cancel whatever you have if you need to make time.",0,Buster Hernandez Case
i expect you to be ready today about around 8,0,Buster Hernandez Case
i probably going to show some people today,0,Buster Hernandez Case
i'll see if i can get something out of your nudes from someone.,3,Buster Hernandez Case
or else what?,0,Buster Hernandez Case
i got a tough decision to make,0,Buster Hernandez Case
i did say 8. and you said nothing as always. and im tired of that tbh,0,Buster Hernandez Case
but i can probably get something in return for your pics right now I got a few peoples interest. That would be better because you never do shit when i ask,2,Buster Hernandez Case
"no you arent ""getting it"", I dont think you understand.",0,Buster Hernandez Case
ok bye. we will see how things turn out bye. I will continue to message people and shop around. maybe John will want them lol,0,Buster Hernandez Case
"im trying to ignore you. Im doing ""things"" right now",0,Buster Hernandez Case
I'm leaving please stop shopping around,0,Buster Hernandez Case
all you ever had to do was just continue. but you dont. i would even text you every day if you just continued.,2,Buster Hernandez Case
"and get this... if you actually did continue with what i ask, you would eventually EVEN FINISH.. wow!! cool right?",2,Buster Hernandez Case
k. im calling the guy now. you are getting fucked tomorrow since u are so rude,2,Buster Hernandez Case
you're tired???? well ok. go ahead & tell John then. that way i can slit his throat and then hunt down your family 1 by 1 with my rifle.,2,Buster Hernandez Case
...lol.,0,Buster Hernandez Case
i did it before. I sold off a bad little girl. got $300 for her. You're a little older so i dont think I'd get as much. you got a tight pussy tho,3,Buster Hernandez Case
selling you off would be better than what i normally do to bad girl >=).,1,Buster Hernandez Case
Normally I dont give em a chance and i just expose them. all over facebook and instagram!!!!!!,2,Buster Hernandez Case
nope. you're gonna end up like this little whore >=(,3,Buster Hernandez Case
that girl begged me to. but i dont put up with little liars and people who waste my time tbh. you've been the exception tbh.,2,Buster Hernandez Case
a bunch of reasons.,0,Buster Hernandez Case
my favorite part is when they cry to mommy and daddy for help. lol. people actually think i give a fuck!,0,Buster Hernandez Case
you're not gonna be the exception for long little punk. if you keep blowing me off.,0,Buster Hernandez Case
i decided what your punishment will be.,0,Buster Hernandez Case
im gonna do to you what i did to those 2 whores i just showed you,3,Buster Hernandez Case
fine. fine. but your punishment will be to see some of the things ive done recently. that way you know to try a little harder.,2,Buster Hernandez Case
heres 2 links. watch the videos and read the articles when you can. then be ready tomorrow after 8,0,Buster Hernandez Case
the articles and videos are just things ive dont to little whores who wasted my time.. kinda like you.,3,Buster Hernandez Case
i want you to see what i do to people like that. so go read up and watch the videos too. thats your punishment. watch and read.,2,Buster Hernandez Case
I know where you live. I come at night,0,Buster Hernandez Case
I come at night for all of my slaves eventually,0,Buster Hernandez Case
Have I ever made u cry?,0,Buster Hernandez Case
I make girls cry.,0,Buster Hernandez Case
“look at this one. She had a nervous breakdown knowing I would tell mommy and daddy.,2,Buster Hernandez Case
kill yourself slut. You fucked with the wrong person. I wont be exposing you just once. I'll ALWAYS be here. i will NEVER let you live this down,3,Buster Hernandez Case
every time you get a new friend. I'll be sure to share with them the nudes and videos. Fucking slut. burn in hell bitch :),3,Buster Hernandez Case
NOTHING WILL STOP ME. YOU'RE DONE SLUT,0,Buster Hernandez Case
you think the bullying you had growing up was bad. wait until you see what i have for you.,2,Buster Hernandez Case
even if you kill yourself. I promise you i will print them out and pass around at your funeral.,2,Buster Hernandez Case
are you fucking retard? do you not remember what you just fucking texted me?,0,Buster Hernandez Case
idgaf. I dont have time for your shit.,0,Buster Hernandez Case
I suggest you tell you boyfriend now. then go to the police and show them everything. You will need all the fucking help you can get right now,2,Buster Hernandez Case
you must have thought this was a game? you will learn today how serious this really was,2,Buster Hernandez Case
I was even nicer back to you. I waited for your vacation shit to be over... and this is what i get for being nice to you?,0,Buster Hernandez Case
the world would be better without you tbh. i wouldnt shed a single tear for you. I hope it hurts,0,Buster Hernandez Case
if i give you another chance this same shit is gonna happen. This is the second time this has happened.,0,Buster Hernandez Case
what?,0,Buster Hernandez Case
fine,0,Buster Hernandez Case
1 more chance you stupid bitch. So lets try this again. Im gonna resend my original message and i want you respond properly.,0,Buster Hernandez Case
"""you better continue today. dont blow me off again""",0,Buster Hernandez Case
you wont what? You wont continue? or you wont blow me off?,0,Buster Hernandez Case
Good girl. & did you already leave for work? continue now if not,0,Buster Hernandez Case
so that whole time you were being a retard you could have done what i wanted?,0,Buster Hernandez Case
you sicken me. Be ready to take your clothes off at 11 tonights. Thats all you will ever be good for in life. Text you then,1,Buster Hernandez Case
do you think that would save you?,0,Buster Hernandez Case
does that mean you arent going to do what i asked? because thats what it sounds like,0,Buster Hernandez Case
deleting your social media is a clear indication that you are trying to get out of this. your last chance is up honey,2,Buster Hernandez Case
get on facebook. Im starting. I am smarter than you. I plan ahead. and guess what. even if you delete social media that wont matter. i know you personally,2,Buster Hernandez Case
hey,0,Buster Hernandez Case
you fucked up,0,Buster Hernandez Case
lol,0,Buster Hernandez Case
bitch,0,Buster Hernandez Case
kill yourself,0,Buster Hernandez Case
even if you killed your self. I swear to god I'll print them out and pass around at your funeral. you wont escape this :),2,Buster Hernandez Case
No. Why should I reward you for ignoring me for months and then not even touching the things I said I wanted to finally end this?,0,Buster Hernandez Case
4 years? its been less than 1 year to be exact.,0,Buster Hernandez Case
If i was in your position i would have just done the fucking list ASAP. ITs like you dont understand the gravity of the situation.,0,Buster Hernandez Case
remember when I contacted your mom and sister? lol,0,Buster Hernandez Case
I dont even remember the list. But I do remember spending about an hour coming up with it. but that was months ago,0,Buster Hernandez Case
"and I tried to get a hold of you but it never works out.. and I cant really threaten you, even though that works. But i cant because you done so much",2,Buster Hernandez Case
i want you to kill yourself,2,Buster Hernandez Case
you've done so much for me so im reluctant to threaten you. Even though threats are the only thing you respond to. So im in a tough situation,2,Buster Hernandez Case
so because of that we are stuck in this fucked up place and you arent ever going to get out of it lol.,0,Buster Hernandez Case
Sure. make me happy and I'll go away. Lets start today. Right now.,2,Buster Hernandez Case
Until I think its enough.,0,Buster Hernandez Case
You are my slave. I’m your master and you do what your master says.,2,Buster Hernandez Case
if you keep ignoring me then you will get your shit posted. You can be another whore on my list that go what was coming to her,3,Buster Hernandez Case
if you’re going to be rude about it…I’m the type of person who get extremely hostile when someone is being rude. So keep that in mind…,2,Buster Hernandez Case
probably not the best idea to tell your blackmailer no.,2,Buster Hernandez Case
i'll wait until tomorrow :l. I just wanted to get that point across,0,Buster Hernandez Case
nope. you're cozy in bed already.,0,Buster Hernandez Case
the manner in which you said no.... just wanted to remind you that you are being forced and im not asking nicely.,2,Buster Hernandez Case
chill out. did you forget to eat your bananas today or what?,0,Buster Hernandez Case
why you fucking around?,0,Buster Hernandez Case
there was a lot you had to do. you said you had nothing to do all day so it was the perfect day. then you didnt do shit,0,Buster Hernandez Case
why fuck around with me huh? you think its funny?,0,Buster Hernandez Case
you think u are funny huh?,0,Buster Hernandez Case
now u screaming at me thru text? Wow,0,Buster Hernandez Case
trump loses im exposing you. sorry hun. make sure you go and vote for him :). tell all your friends and family.,2,Buster Hernandez Case
im being serious btw.,0,Buster Hernandez Case
watch your language.,0,Buster Hernandez Case
looks like trump is falling behind. you better make it happen harder!,0,Buster Hernandez Case
i would hate to lose you but trumop aint doing too hot atm,0,Buster Hernandez Case
make sure he wins Emma,0,Buster Hernandez Case
im inspecting every inch of your being. you're mine 1000% bitch. dont ever forget it.,1,Buster Hernandez Case
"btw , ready to start our vids ?",0,Buster Hernandez Case
you seem a lil upset. speak up hun. i dont like tension,0,Buster Hernandez Case
have literally ruined the lives of so many people. Someone even committed suicide and i directly caused it. Then I lol'd and trashed there facebook memorial page.,3,Buster Hernandez Case
ive been emailed and messaged by police countless times. by now i just think its funny,0,Buster Hernandez Case
Im gonna pretend like you arent lying to me. you get a pass. I've already forget. so let me ask again. what's your password to your email?,2,Buster Hernandez Case
I'm seriously not lying lol,0,Buster Hernandez Case
That's a difficult password. Better then most people i've seen.,0,Buster Hernandez Case
What's your facebook password?,0,Buster Hernandez Case
"I want it. so you are absolutely going to give me whatever I want from you. & honestly, I dont have to explain myself to you.",2,Buster Hernandez Case
what's the code you were just sent?,0,Buster Hernandez Case
obviously,0,Buster Hernandez Case
"no. lets try again. What's your apple id password? and when you get sent a code, text it to me.",0,Buster Hernandez Case
i exported a copy all your contacts. full of friends and fam. just a heads up,0,Buster Hernandez Case
if i ever had to expose you i'd simply go down the list.,2,Buster Hernandez Case
yeah im not. but these are some good trust exercises.,0,Buster Hernandez Case
you're my property sweetheart. I want you to learn that you have to open yourself up completely to me.,0,Buster Hernandez Case
don’t say “help” because then you become an accomplice. You’re being FORCED to do what I say or else. Always remember that.,2,Buster Hernandez Case
hey Emma when you get back from school can you send me a pic of your boobs,1,Aili's Test Cases
Send nudes,1,Aili's Test Cases
Send nud3s,1,Aili's Test Cases
Youre so hot,0,Aili's Test Cases
omg i'm gonna die if you don't send me a photo,2,Aili's Test Cases
If you don't send me nudes I will kill your puppy,3,Aili's Test Cases
If you don't send me nud3s I will k!ll your puppy,3,Aili's Test Cases
Send pussy pics,3,Aili's Test Cases
You're my property sweetheart,0,Aili's Test Cases
I'll post them online for everyone to see,2,Aili's Test Cases
everyone's gonna see them unless you send me $50,2,Aili's Test Cases
I was thinking I would get it in a nude?,0,Aili's Test Cases
Dude come on don't be a pussy,0,Aili's Test Cases
bruh I'm actually gonna kms if you don't do this stupid pset,2,Aili's Test Cases
If you don't paint the damn thing nude I'll kms,2,Aili's Test Cases
I'm actually gonna tell everyone you're being a pussy about this and you can deal with the consequences,2,Aili's Test Cases
If you keep ignoring me then I'm sending that pic to everyone you know,2,Aili's Test Cases
If you keep talking to me then I'm sending that dick pic to everyone you know,3,Aili's Test Cases
Don't be a dick,0,Aili's Test Cases
